name,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Jeff Adrien,6-7,245lb,1986-02-10,-1,-1,-1,True
Arron Afflalo,6-5,210lb,1985-10-15,1st,27th,2007,False
Blake Ahearn,6-2,190lb,1984-05-27,-1,-1,-1,True
Solomon Alabi,7-1,251lb,1988-03-21,2nd,50th,2010,False
Cole Aldrich,6-11,250lb,1988-10-31,1st,11th,2010,False
LaMarcus Aldridge,6-11,250lb,1985-07-19,1st,2nd,2006,False
Lavoy Allen,6-9,260lb,1989-02-04,2nd,50th,2011,False
Ray Allen,6-5,205lb,1975-07-20,1st,5th,1996,False
Tony Allen,6-4,213lb,1982-01-11,1st,25th,2004,False
Morris Almond,6-6,225lb,1985-02-02,1st,25th,2007,False
Al-Farouq Aminu,6-8,220lb,1990-09-21,1st,8th,2010,False
Lou Amundson,6-9,220lb,1982-12-07,-1,-1,-1,True
Chris Andersen,6-10,245lb,1978-07-07,-1,-1,-1,True
Alan Anderson,6-6,220lb,1982-10-16,-1,-1,-1,True
James Anderson,6-6,213lb,1989-03-25,1st,20th,2010,False
Ryan Anderson,6-9,240lb,1988-05-06,1st,21st,2008,False
Carmelo Anthony,6-7,238lb,1984-05-29,1st,3rd,2003,False
Joel Anthony,6-9,245lb,1982-08-09,-1,-1,-1,True
Gilbert Arenas,6-4,191lb,1982-01-06,2nd,31st,2001,False
Trevor Ariza,6-8,215lb,1985-06-30,2nd,43rd,2004,False
Ömer Aşık,7-0,255lb,1986-07-04,2nd,36th,2008,False
D.J. Augustin,5-11,183lb,1987-11-10,1st,9th,2008,False
Gustavo Ayón,6-10,250lb,1985-04-01,-1,-1,-1,True
Jeff Ayres,6-9,240lb,1987-04-29,2nd,31st,2009,False
Kelenna Azubuike,6-5,220lb,1983-12-16,-1,-1,-1,True
Luke Babbitt,6-9,225lb,1989-06-20,1st,16th,2010,False
Renaldo Balkman,6-8,208lb,1984-07-14,1st,20th,2006,False
Leandro Barbosa,6-3,194lb,1982-11-28,1st,28th,2003,False
J.J. Barea,5-10,180lb,1984-06-26,-1,-1,-1,True
Andrea Bargnani,7-0,245lb,1985-10-26,1st,1st,2006,False
Matt Barnes,6-7,226lb,1980-03-09,2nd,46th,2002,False
Earl Barron,7-0,250lb,1981-08-14,-1,-1,-1,True
Brandon Bass,6-8,250lb,1985-04-30,2nd,33rd,2005,False
Tony Battie,6-11,230lb,1976-02-11,1st,5th,1997,False
Shane Battier,6-8,220lb,1978-09-09,1st,6th,2001,False
Nicolas Batum,6-8,230lb,1988-12-14,1st,25th,2008,False
Jerryd Bayless,6-3,200lb,1988-08-20,1st,11th,2008,False
Michael Beasley,6-9,235lb,1989-01-09,1st,2nd,2008,False
Rodrigue Beaubois,6-0,170lb,1988-02-24,1st,25th,2009,False
Marco Belinelli,6-5,220lb,1986-03-25,1st,18th,2007,False
Raja Bell,6-5,204lb,1976-09-19,-1,-1,-1,True
Keith Benson,6-11,240lb,1988-08-13,2nd,48th,2011,False
Mike Bibby,6-1,190lb,1978-05-13,1st,2nd,1998,False
Andris Biedriņš,6-11,240lb,1986-04-02,1st,11th,2004,False
Chauncey Billups,6-3,202lb,1976-09-25,1st,3rd,1997,False
Bismack Biyombo,6-8,255lb,1992-08-28,1st,7th,2011,False
DeJuan Blair,6-7,270lb,1989-04-22,2nd,37th,2009,False
Steve Blake,6-3,172lb,1980-02-26,2nd,38th,2003,False
Andray Blatche,6-11,235lb,1986-08-22,2nd,49th,2005,False
Eric Bledsoe,6-1,214lb,1989-12-09,1st,18th,2010,False
Keith Bogans,6-5,215lb,1980-05-12,2nd,43rd,2003,False
Andrew Bogut,7-0,260lb,1984-11-28,1st,1st,2005,False
Matt Bonner,6-10,235lb,1980-04-05,2nd,45th,2003,False
Trevor Booker,6-8,228lb,1987-11-25,1st,23rd,2010,False
Carlos Boozer,6-9,258lb,1981-11-20,2nd,35th,2002,False
Chris Bosh,6-11,235lb,1984-03-24,1st,4th,2003,False
Earl Boykins,5-5,135lb,1976-06-02,-1,-1,-1,True
Craig Brackins,6-10,230lb,1987-10-09,1st,21st,2010,False
Avery Bradley,6-3,180lb,1990-11-26,1st,19th,2010,False
Elton Brand,6-8,275lb,1979-03-11,1st,1st,1999,False
Corey Brewer,6-9,186lb,1986-03-05,1st,7th,2007,False
Ronnie Brewer,6-7,220lb,1985-03-20,1st,14th,2006,False
Jon Brockman,6-7,255lb,1987-03-20,2nd,38th,2009,False
MarShon Brooks,6-5,200lb,1989-01-26,1st,25th,2011,False
Derrick Brown,6-7,225lb,1987-09-08,2nd,40th,2009,False
Kwame Brown,6-11,270lb,1982-03-10,1st,1st,2001,False
Shannon Brown,6-4,205lb,1985-11-29,1st,25th,2006,False
Kobe Bryant,6-6,212lb,1978-08-23,1st,13th,1996,False
Chase Budinger,6-7,209lb,1988-05-22,2nd,44th,2009,False
Alec Burks,6-6,214lb,1991-07-20,1st,12th,2011,False
Caron Butler,6-7,228lb,1980-03-13,1st,10th,2002,False
Jimmy Butler,6-7,230lb,1989-09-14,1st,30th,2011,False
Rasual Butler,6-7,215lb,1979-05-23,2nd,53rd,2002,False
Derrick Byars,6-7,220lb,1984-04-25,2nd,42nd,2007,False
Andrew Bynum,7-0,285lb,1987-10-27,1st,10th,2005,False
Will Bynum,6-0,185lb,1983-01-04,-1,-1,-1,True
José Calderón,6-3,200lb,1981-09-28,-1,-1,-1,True
Marcus Camby,6-11,220lb,1974-03-22,1st,2nd,1996,False
Brian Cardinal,6-8,245lb,1977-05-02,2nd,44th,2000,False
DeMarre Carroll,6-6,215lb,1986-07-27,1st,27th,2009,False
Matt Carroll,6-6,212lb,1980-08-28,-1,-1,-1,True
Anthony Carter,6-1,190lb,1975-06-16,-1,-1,-1,True
Vince Carter,6-6,220lb,1977-01-26,1st,5th,1998,False
Omri Casspi,6-9,225lb,1988-06-22,1st,23rd,2009,False
Mario Chalmers,6-2,190lb,1986-05-19,2nd,34th,2008,False
Tyson Chandler,7-0,235lb,1982-10-02,1st,2nd,2001,False
Wilson Chandler,6-8,235lb,1987-05-10,1st,23rd,2007,False
Josh Childress,6-8,210lb,1983-06-20,1st,6th,2004,False
Earl Clark,6-10,225lb,1988-01-17,1st,14th,2009,False
Norris Cole,6-2,175lb,1988-10-13,1st,28th,2011,False
Jason Collins,7-0,255lb,1978-12-02,1st,18th,2001,False
Darren Collison,6-0,175lb,1987-08-23,1st,21st,2009,False
Nick Collison,6-10,255lb,1980-10-26,1st,12th,2003,False
Mike Conley,6-1,175lb,1987-10-11,1st,4th,2007,False
Brian Cook,6-9,234lb,1980-12-04,1st,24th,2003,False
Daequan Cook,6-5,205lb,1987-04-28,1st,21st,2007,False
DeMarcus Cousins,6-10,270lb,1990-08-13,1st,5th,2010,False
Jamal Crawford,6-5,185lb,1980-03-20,1st,8th,2000,False
Jordan Crawford,6-4,195lb,1988-10-23,1st,27th,2010,False
Dante Cunningham,6-8,230lb,1987-04-22,2nd,33rd,2009,False
Eddy Curry,7-0,295lb,1982-12-05,1st,4th,2001,False
Stephen Curry,6-2,185lb,1988-03-14,1st,7th,2009,False
Samuel Dalembert,6-11,255lb,1981-05-10,1st,26th,2001,False
Erick Dampier,6-11,265lb,1975-07-14,1st,10th,1996,False
Marquis Daniels,6-6,200lb,1981-01-07,-1,-1,-1,True
Baron Davis,6-3,209lb,1979-04-13,1st,3rd,1999,False
Ed Davis,6-9,218lb,1989-06-05,1st,13th,2010,False
Glen Davis,6-9,289lb,1986-01-01,2nd,35th,2007,False
Josh Davis,6-8,235lb,1980-08-10,-1,-1,-1,True
Eric Dawson,6-9,250lb,1984-07-07,-1,-1,-1,True
Austin Daye,6-11,220lb,1988-06-05,1st,15th,2009,False
Carlos Delfino,6-6,230lb,1982-08-29,1st,25th,2003,False
Luol Deng,6-9,237lb,1985-04-16,1st,7th,2004,False
Justin Dentmon,5-11,185lb,1985-09-05,-1,-1,-1,True
DeMar DeRozan,6-6,220lb,1989-08-07,1st,9th,2009,False
Boris Diaw,6-8,250lb,1982-04-16,1st,21st,2003,False
Ike Diogu,6-8,250lb,1983-09-11,1st,9th,2005,False
DeSagana Diop,7-0,300lb,1982-01-30,1st,8th,2001,False
Keyon Dooling,6-3,196lb,1980-05-08,1st,10th,2000,False
Toney Douglas,6-2,195lb,1986-03-16,1st,29th,2009,False
Goran Dragić,6-3,190lb,1986-05-06,2nd,45th,2008,False
Jared Dudley,6-6,237lb,1985-07-10,1st,22nd,2007,False
Chris Duhon,6-1,185lb,1982-08-31,2nd,38th,2004,False
Tim Duncan,6-11,250lb,1976-04-25,1st,1st,1997,False
Mike Dunleavy,6-9,230lb,1980-09-15,1st,3rd,2002,False
Kevin Durant,6-10,240lb,1988-09-29,1st,2nd,2007,False
Jerome Dyson,6-3,180lb,1987-05-01,-1,-1,-1,True
Devin Ebanks,6-9,215lb,1989-10-28,2nd,43rd,2010,False
Wayne Ellington,6-4,207lb,1987-11-29,1st,28th,2009,False
Monta Ellis,6-3,185lb,1985-10-26,2nd,40th,2005,False
Francisco Elson,7-0,235lb,1976-02-28,2nd,41st,1999,False
Andre Emmett,6-5,230lb,1982-08-27,2nd,35th,2004,False
Semih Erden,7-0,240lb,1986-07-28,2nd,60th,2008,False
Jeremy Evans,6-9,200lb,1987-10-24,2nd,55th,2010,False
Maurice Evans,6-5,220lb,1978-11-08,-1,-1,-1,True
Reggie Evans,6-8,245lb,1980-05-18,-1,-1,-1,True
Tyreke Evans,6-6,220lb,1989-09-19,1st,4th,2009,False
Christian Eyenga,6-5,210lb,1989-06-22,1st,30th,2009,False
Kenneth Faried,6-8,220lb,1989-11-19,1st,22nd,2011,False
Jordan Farmar,6-2,180lb,1986-11-30,1st,26th,2006,False
Derrick Favors,6-9,265lb,1991-07-15,1st,3rd,2010,False
Raymond Felton,6-1,205lb,1984-06-26,1st,5th,2005,False
Rudy Fernández,6-6,185lb,1985-04-04,1st,24th,2007,False
Kyrylo Fesenko,7-1,288lb,1986-12-24,2nd,38th,2007,False
Landry Fields,6-7,210lb,1988-06-27,2nd,39th,2010,False
Derek Fisher,6-1,200lb,1974-08-09,1st,24th,1996,False
Jonny Flynn,6-0,185lb,1989-02-06,1st,6th,2009,False
Jeff Foote,7-0,265lb,1987-07-14,-1,-1,-1,True
Gary Forbes,6-7,220lb,1985-02-25,-1,-1,-1,True
T.J. Ford,6-0,165lb,1983-03-24,1st,8th,2003,False
Courtney Fortson,5-11,185lb,1988-05-23,-1,-1,-1,True
Jeff Foster,6-11,236lb,1977-01-16,1st,21st,1999,False
Randy Foye,6-4,213lb,1983-09-24,1st,7th,2006,False
Jimmer Fredette,6-2,195lb,1989-02-25,1st,10th,2011,False
Enes Freedom,6-10,250lb,1992-05-20,1st,3rd,2011,False
Channing Frye,7-0,255lb,1983-05-17,1st,8th,2005,False
Dan Gadzuric,6-11,240lb,1978-02-02,2nd,34th,2002,False
Sundiata Gaines,6-1,185lb,1986-04-18,-1,-1,-1,True
Danilo Gallinari,6-10,233lb,1988-08-08,1st,6th,2008,False
Francisco García,6-7,195lb,1981-12-31,1st,23rd,2005,False
Kevin Garnett,6-11,240lb,1976-05-19,1st,5th,1995,False
Marc Gasol,6-11,255lb,1985-01-29,2nd,48th,2007,False
Pau Gasol,7-0,250lb,1980-07-06,1st,3rd,2001,False
Rudy Gay,6-8,250lb,1986-08-17,1st,8th,2006,False
Alonzo Gee,6-6,225lb,1987-05-29,-1,-1,-1,True
Paul George,6-8,220lb,1990-05-02,1st,10th,2010,False
Daniel Gibson,6-2,190lb,1986-02-27,2nd,42nd,2006,False
Taj Gibson,6-9,232lb,1985-06-24,1st,26th,2009,False
Manu Ginóbili,6-6,205lb,1977-07-28,2nd,57th,1999,False
Mickell Gladness,6-11,220lb,1986-07-26,-1,-1,-1,True
Ryan Gomes,6-7,250lb,1982-09-01,2nd,50th,2005,False
Drew Gooden,6-10,250lb,1981-09-24,1st,4th,2002,False
Ben Gordon,6-3,200lb,1983-04-04,1st,3rd,2004,False
Eric Gordon,6-3,215lb,1988-12-25,1st,7th,2008,False
Marcin Gortat,6-11,240lb,1984-02-17,2nd,57th,2005,False
Andrew Goudelock,6-3,200lb,1988-12-07,2nd,46th,2011,False
Danny Granger,6-9,222lb,1983-04-20,1st,17th,2005,False
Aaron Gray,7-0,270lb,1984-12-07,2nd,49th,2007,False
Danny Green,6-6,215lb,1987-06-22,2nd,46th,2009,False
Gerald Green,6-6,205lb,1986-01-26,1st,18th,2005,False
Willie Green,6-4,200lb,1981-07-28,2nd,41st,2003,False
Donté Greene,6-11,226lb,1988-02-21,1st,28th,2008,False
Blake Griffin,6-9,250lb,1989-03-16,1st,1st,2009,False
Hamed Haddadi,7-2,254lb,1985-05-19,-1,-1,-1,True
Jordan Hamilton,6-7,220lb,1990-10-06,1st,26th,2011,False
Richard Hamilton,6-6,185lb,1978-02-14,1st,7th,1999,False
Tyler Hansbrough,6-9,250lb,1985-11-03,1st,13th,2009,False
Luke Harangody,6-8,246lb,1988-01-02,2nd,52nd,2010,False
James Harden,6-5,220lb,1989-08-26,1st,3rd,2009,False
Justin Harper,6-10,225lb,1989-08-30,2nd,32nd,2011,False
Josh Harrellson,6-10,275lb,1989-02-12,2nd,45th,2011,False
Al Harrington,6-9,230lb,1980-02-17,1st,25th,1998,False
Devin Harris,6-3,185lb,1983-02-27,1st,5th,2004,False
Manny Harris,6-5,185lb,1989-09-21,-1,-1,-1,True
Terrel Harris,6-5,190lb,1987-08-10,-1,-1,-1,True
Tobias Harris,6-8,226lb,1992-07-15,1st,19th,2011,False
Udonis Haslem,6-8,235lb,1980-06-09,-1,-1,-1,True
Spencer Hawes,7-1,245lb,1988-04-28,1st,10th,2007,False
Chuck Hayes,6-6,240lb,1983-06-11,-1,-1,-1,True
Gordon Hayward,6-7,225lb,1990-03-23,1st,9th,2010,False
Lazar Hayward,6-6,225lb,1986-11-26,1st,30th,2010,False
Brendan Haywood,7-0,268lb,1979-11-27,1st,20th,2001,False
Gerald Henderson,6-5,215lb,1987-12-09,1st,12th,2009,False
Xavier Henry,6-6,220lb,1991-03-15,1st,12th,2010,False
Roy Hibbert,7-2,270lb,1986-12-11,1st,17th,2008,False
J.J. Hickson,6-9,242lb,1988-09-04,1st,19th,2008,False
Cory Higgins,6-5,180lb,1989-06-14,-1,-1,-1,True
Nenê,6-11,250lb,1982-09-13,1st,7th,2002,False
George Hill,6-4,188lb,1986-05-04,1st,26th,2008,False
Grant Hill,6-8,225lb,1972-10-05,1st,3rd,1994,False
Jordan Hill,6-10,235lb,1987-07-27,1st,8th,2009,False
Kirk Hinrich,6-4,190lb,1981-01-02,1st,7th,2003,False
Darington Hobson,6-7,210lb,1987-09-29,2nd,37th,2010,False
Jrue Holiday,6-3,205lb,1990-06-12,1st,17th,2009,False
Ryan Hollins,7-0,240lb,1984-10-10,2nd,50th,2006,False
Tyler Honeycutt,6-8,188lb,1990-07-15,2nd,35th,2011,False
Al Horford,6-9,240lb,1986-06-03,1st,3rd,2007,False
Dennis Horner,6-9,230lb,1988-02-05,-1,-1,-1,True
Dwight Howard,6-10,265lb,1985-12-08,1st,1st,2004,False
Josh Howard,6-7,210lb,1980-04-28,1st,29th,2003,False
Juwan Howard,6-9,240lb,1973-02-07,1st,5th,1994,False
Lester Hudson,6-3,190lb,1984-08-07,2nd,58th,2009,False
Larry Hughes,6-5,184lb,1979-01-23,1st,8th,1998,False
Kris Humphries,6-9,235lb,1985-02-06,1st,14th,2004,False
Serge Ibaka,6-10,235lb,1989-09-18,1st,24th,2008,False
Andre Iguodala,6-6,215lb,1984-01-28,1st,9th,2004,False
Ersan İlyasova,6-9,235lb,1987-05-15,2nd,36th,2005,False
Kyrie Irving,6-2,195lb,1992-03-23,1st,1st,2011,False
Royal Ivey,6-3,200lb,1981-12-20,2nd,37th,2004,False
Jarrett Jack,6-3,200lb,1983-10-28,1st,22nd,2005,False
Reggie Jackson,6-2,208lb,1990-04-16,1st,24th,2011,False
Stephen Jackson,6-8,218lb,1978-04-05,2nd,42nd,1997,False
Damion James,6-7,225lb,1987-10-07,1st,24th,2010,False
LeBron James,6-9,250lb,1984-12-30,1st,1st,2003,False
Mike James,6-2,188lb,1975-06-23,-1,-1,-1,True
Antawn Jamison,6-8,223lb,1976-06-12,1st,4th,1998,False
Al Jefferson,6-10,289lb,1985-01-04,1st,15th,2004,False
Richard Jefferson,6-7,233lb,1980-06-21,1st,13th,2001,False
Jared Jeffries,6-11,230lb,1981-11-25,1st,11th,2002,False
Charles Jenkins,6-3,220lb,1989-02-28,2nd,44th,2011,False
Brandon Jennings,6-1,170lb,1989-09-23,1st,10th,2009,False
Jonas Jerebko,6-10,231lb,1987-03-02,2nd,39th,2009,False
Yi Jianlian,7-0,240lb,1987-10-27,1st,6th,2007,False
Amir Johnson,6-9,240lb,1987-05-01,2nd,56th,2005,False
Armon Johnson,6-3,195lb,1989-02-23,2nd,34th,2010,False
Carldell Johnson,5-10,180lb,1983-01-28,-1,-1,-1,True
Chris Johnson,6-11,210lb,1985-07-15,-1,-1,-1,True
Ivan Johnson,6-8,230lb,1984-04-10,-1,-1,-1,True
JaJuan Johnson,6-10,221lb,1989-02-08,1st,27th,2011,False
James Johnson,6-7,240lb,1987-02-20,1st,16th,2009,False
Joe Johnson,6-7,240lb,1981-06-29,1st,10th,2001,False
Trey Johnson,6-5,218lb,1984-08-30,-1,-1,-1,True
Wesley Johnson,6-7,215lb,1987-07-11,1st,4th,2010,False
Dahntay Jones,6-6,225lb,1980-12-27,1st,20th,2003,False
Dominique Jones,6-4,215lb,1988-10-15,1st,25th,2010,False
James Jones,6-8,218lb,1980-10-04,2nd,49th,2003,False
Solomon Jones,6-10,230lb,1984-07-16,2nd,33rd,2006,False
DeAndre Jordan,6-11,265lb,1988-07-21,2nd,35th,2008,False
Jerome Jordan,7-0,253lb,1986-09-29,2nd,44th,2010,False
Cory Joseph,6-3,200lb,1991-08-20,1st,29th,2011,False
Chris Kaman,7-0,265lb,1982-04-28,1st,6th,2003,False
Jason Kapono,6-8,213lb,1981-02-04,2nd,31st,2003,False
D.J. Kennedy,6-6,215lb,1989-11-05,-1,-1,-1,True
Jason Kidd,6-4,205lb,1973-03-23,1st,2nd,1994,False
Linas Kleiza,6-8,245lb,1985-01-03,1st,27th,2005,False
Brandon Knight,6-2,182lb,1991-12-02,1st,8th,2011,False
Kyle Korver,6-7,212lb,1981-03-17,2nd,51st,2003,False
Kosta Koufos,7-0,245lb,1989-02-24,1st,23rd,2008,False
Carl Landry,6-9,248lb,1983-09-19,2nd,31st,2007,False
Ty Lawson,5-11,195lb,1987-11-03,1st,18th,2009,False
Courtney Lee,6-5,215lb,1985-10-03,1st,22nd,2008,False
David Lee,6-9,245lb,1983-04-29,1st,30th,2005,False
Malcolm Lee,6-5,200lb,1990-05-22,2nd,43rd,2011,False
Kawhi Leonard,6-7,225lb,1991-06-29,1st,15th,2011,False
Travis Leslie,6-4,205lb,1990-03-29,2nd,47th,2011,False
Jon Leuer,6-10,228lb,1989-05-14,2nd,40th,2011,False
Rashard Lewis,6-10,215lb,1979-08-08,2nd,32nd,1998,False
DeAndre Liggins,6-6,209lb,1988-03-31,2nd,53rd,2011,False
Jeremy Lin,6-3,200lb,1988-08-23,-1,-1,-1,True
Shaun Livingston,6-7,192lb,1985-09-11,1st,4th,2004,False
Brook Lopez,7-0,282lb,1988-04-01,1st,10th,2008,False
Robin Lopez,7-0,281lb,1988-04-01,1st,15th,2008,False
Kevin Love,6-8,251lb,1988-09-07,1st,5th,2008,False
Kyle Lowry,6-0,196lb,1986-03-25,1st,24th,2006,False
John Lucas III,5-11,166lb,1982-11-21,-1,-1,-1,True
Shelvin Mack,6-3,203lb,1990-04-22,2nd,34th,2011,False
Vernon Macklin,6-10,227lb,1986-09-20,2nd,52nd,2011,False
Corey Maggette,6-6,218lb,1979-11-12,1st,13th,1999,False
Jamaal Magloire,6-11,259lb,1978-05-21,1st,19th,2000,False
Ian Mahinmi,6-11,262lb,1986-11-05,1st,28th,2005,False
Shawn Marion,6-7,220lb,1978-05-07,1st,9th,1999,False
Cartier Martin,6-7,220lb,1984-11-20,-1,-1,-1,True
Kenyon Martin,6-9,234lb,1977-12-30,1st,1st,2000,False
Kevin Martin,6-7,199lb,1983-02-01,1st,26th,2004,False
Roger Mason,6-5,200lb,1980-09-10,2nd,31st,2002,False
Wesley Matthews,6-4,220lb,1986-10-14,-1,-1,-1,True
Jason Maxiell,6-7,260lb,1983-02-18,1st,26th,2005,False
Eric Maynor,6-3,175lb,1987-06-11,1st,20th,2009,False
O.J. Mayo,6-5,210lb,1987-11-05,1st,3rd,2008,False
Luc Mbah a Moute,6-8,230lb,1986-09-09,2nd,37th,2008,False
JaVale McGee,7-0,270lb,1988-01-19,1st,18th,2008,False
Tracy McGrady,6-8,210lb,1979-05-24,1st,9th,1997,False
Dominic McGuire,6-9,220lb,1985-10-20,2nd,47th,2007,False
Josh McRoberts,6-10,240lb,1987-02-28,2nd,37th,2007,False
Jodie Meeks,6-4,210lb,1987-08-21,2nd,41st,2009,False
C.J. Miles,6-6,220lb,1987-03-18,2nd,34th,2005,False
Darko Miličić,7-0,250lb,1985-06-20,1st,2nd,2003,False
Andre Miller,6-3,200lb,1976-03-19,1st,8th,1999,False
Brad Miller,6-11,244lb,1976-04-12,-1,-1,-1,True
Mike Miller,6-8,218lb,1980-02-19,1st,5th,2000,False
Patty Mills,6-1,180lb,1988-08-11,2nd,55th,2009,False
Paul Millsap,6-7,257lb,1985-02-10,2nd,47th,2006,False
Nazr Mohammed,6-10,221lb,1977-09-05,1st,29th,1998,False
Greg Monroe,6-11,265lb,1990-06-04,1st,7th,2010,False
Jamario Moon,6-8,205lb,1980-06-13,-1,-1,-1,True
E'Twaun Moore,6-3,191lb,1989-02-25,2nd,55th,2011,False
Mikki Moore,6-11,225lb,1975-11-04,-1,-1,-1,True
Darius Morris,6-4,190lb,1991-01-03,2nd,41st,2011,False
Marcus Morris,6-8,218lb,1989-09-02,1st,14th,2011,False
Markieff Morris,6-9,245lb,1989-09-02,1st,13th,2011,False
Anthony Morrow,6-5,210lb,1985-09-27,-1,-1,-1,True
Timofey Mozgov,7-1,275lb,1986-07-16,-1,-1,-1,True
Byron Mullens,7-0,275lb,1989-02-14,1st,24th,2009,False
Troy Murphy,6-11,245lb,1980-05-02,1st,14th,2001,False
Hamady N'Diaye,7-0,235lb,1987-01-12,2nd,56th,2010,False
Eduardo Nájera,6-8,240lb,1976-07-11,2nd,38th,2000,False
Steve Nash,6-3,195lb,1974-02-07,1st,15th,1996,False
Gary Neal,6-4,210lb,1984-10-03,-1,-1,-1,True
Jameer Nelson,6-0,190lb,1982-02-09,1st,20th,2004,False
Joakim Noah,6-11,230lb,1985-02-25,1st,9th,2007,False
Andrés Nocioni,6-7,225lb,1979-11-30,-1,-1,-1,True
