name,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Steve Novak,6-10,225lb,1983-06-13,2nd,32nd,2006,False
Dirk Nowitzki,7-0,245lb,1978-06-19,1st,9th,1998,False
Jermaine O'Neal,6-11,226lb,1978-10-13,1st,17th,1996,False
Lamar Odom,6-10,220lb,1979-11-06,1st,4th,1999,False
Emeka Okafor,6-10,252lb,1982-09-28,1st,2nd,2004,False
Mehmet Okur,6-11,249lb,1979-05-26,2nd,38th,2001,False
Daniel Orton,6-10,255lb,1990-08-06,1st,29th,2010,False
Travis Outlaw,6-9,210lb,1984-09-18,1st,23rd,2003,False
Larry Owens,6-7,210lb,1983-01-08,-1,-1,-1,True
Zaza Pachulia,6-11,270lb,1984-02-10,2nd,42nd,2003,False
Jannero Pargo,6-1,175lb,1979-10-22,-1,-1,-1,True
Jeremy Pargo,6-2,219lb,1986-03-17,-1,-1,-1,True
Anthony Parker,6-6,215lb,1975-06-19,1st,21st,1997,False
Tony Parker,6-2,185lb,1982-05-17,1st,28th,2001,False
Chandler Parsons,6-9,230lb,1988-10-25,2nd,38th,2011,False
Patrick Patterson,6-8,235lb,1989-03-14,1st,14th,2010,False
Chris Paul,6-0,175lb,1985-05-06,1st,4th,2005,False
Sasha Pavlović,6-8,220lb,1983-11-15,1st,19th,2003,False
Nikola Peković,6-11,307lb,1986-01-03,2nd,31st,2008,False
Kendrick Perkins,6-10,270lb,1984-11-10,1st,27th,2003,False
Johan Petro,7-0,247lb,1986-01-27,1st,25th,2005,False
Paul Pierce,6-7,235lb,1977-10-13,1st,10th,1998,False
Mickaël Piétrus,6-6,215lb,1982-02-07,1st,11th,2003,False
Dexter Pittman,6-11,308lb,1988-03-02,2nd,32nd,2010,False
Quincy Pondexter,6-7,230lb,1988-03-10,1st,26th,2010,False
A.J. Price,6-2,181lb,1986-10-07,2nd,52nd,2009,False
Ronnie Price,6-2,190lb,1983-06-21,-1,-1,-1,True
Tayshaun Prince,6-9,212lb,1980-02-28,1st,23rd,2002,False
Joel Przybilla,7-1,255lb,1979-10-10,1st,9th,2000,False
Vladimir Radmanović,6-10,227lb,1980-11-19,1st,12th,2001,False
Anthony Randolph,6-10,205lb,1989-07-15,1st,14th,2008,False
Zach Randolph,6-9,250lb,1981-07-16,1st,19th,2001,False
Michael Redd,6-6,220lb,1979-08-24,2nd,43rd,2000,False
J.J. Redick,6-3,200lb,1984-06-24,1st,11th,2006,False
Ryan Reid,6-8,232lb,1986-10-30,2nd,57th,2010,False
Jason Richardson,6-6,220lb,1981-01-20,1st,5th,2001,False
Quentin Richardson,6-6,223lb,1980-04-13,1st,18th,2000,False
Luke Ridnour,6-2,175lb,1981-02-13,1st,14th,2003,False
Nate Robinson,5-9,180lb,1984-05-31,1st,21st,2005,False
Rajon Rondo,6-1,180lb,1986-02-22,1st,21st,2006,False
Derrick Rose,6-2,200lb,1988-10-04,1st,1st,2008,False
Ricky Rubio,6-2,190lb,1990-10-21,1st,5th,2009,False
Brandon Rush,6-6,220lb,1985-07-07,1st,13th,2008,False
Walker Russell,6-0,170lb,1982-10-06,-1,-1,-1,True
John Salmons,6-7,210lb,1979-12-12,1st,26th,2002,False
Samardo Samuels,6-9,260lb,1989-01-09,-1,-1,-1,True
Larry Sanders,6-11,235lb,1988-11-21,1st,15th,2010,False
Brian Scalabrine,6-9,241lb,1978-03-18,2nd,35th,2001,False
Luis Scola,6-9,240lb,1980-04-30,2nd,56th,2002,False
Thabo Sefolosha,6-6,215lb,1984-05-02,1st,13th,2006,False
Josh Selby,6-2,183lb,1991-03-27,2nd,49th,2011,False
Kevin Séraphin,6-9,285lb,1989-12-07,1st,17th,2010,False
Ramon Sessions,6-3,190lb,1986-04-11,2nd,56th,2007,False
Iman Shumpert,6-5,215lb,1990-06-26,1st,17th,2011,False
Xavier Silas,6-5,205lb,1988-01-22,-1,-1,-1,True
Bobby Simmons,6-7,210lb,1980-06-02,2nd,42nd,2001,False
Chris Singleton,6-8,230lb,1989-11-21,1st,18th,2011,False
James Singleton,6-8,216lb,1981-07-20,-1,-1,-1,True
Brian Skinner,6-9,255lb,1976-05-19,1st,22nd,1998,False
Donald Sloan,6-3,205lb,1988-01-15,-1,-1,-1,True
Craig Smith,6-7,250lb,1983-11-10,2nd,36th,2006,False
Greg Smith,6-10,250lb,1991-01-08,-1,-1,-1,True
Ish Smith,6-0,175lb,1988-07-05,-1,-1,-1,True
J.R. Smith,6-6,225lb,1985-09-09,1st,18th,2004,False
Jason Smith,7-0,240lb,1986-03-02,1st,20th,2007,False
Jerry Smith,6-2,190lb,1987-09-26,-1,-1,-1,True
Josh Smith,6-9,225lb,1985-12-05,1st,17th,2004,False
Nolan Smith,6-2,185lb,1988-07-25,1st,21st,2011,False
Marreese Speights,6-10,255lb,1987-08-04,1st,16th,2008,False
Tiago Splitter,6-11,245lb,1985-01-01,1st,28th,2007,False
Jerry Stackhouse,6-6,218lb,1974-11-05,1st,3rd,1995,False
Lance Stephenson,6-6,230lb,1990-09-05,2nd,40th,2010,False
DeShawn Stevenson,6-5,210lb,1981-04-03,1st,23rd,2000,False
Greg Stiemsma,6-11,260lb,1985-09-26,-1,-1,-1,True
Julyan Stone,6-6,200lb,1988-12-07,-1,-1,-1,True
Amar'e Stoudemire,6-10,245lb,1982-11-16,1st,9th,2002,False
Rodney Stuckey,6-5,210lb,1986-04-21,1st,15th,2007,False
DaJuan Summers,6-8,230lb,1988-01-24,2nd,35th,2009,False
Jeff Teague,6-3,195lb,1988-06-10,1st,19th,2009,False
Sebastian Telfair,6-0,165lb,1985-06-09,1st,13th,2004,False
Jason Terry,6-2,185lb,1977-09-15,1st,10th,1999,False
Hasheem Thabeet,7-3,263lb,1987-02-16,1st,2nd,2009,False
Isaiah Thomas,5-9,185lb,1989-02-07,2nd,60th,2011,False
Kurt Thomas,6-9,230lb,1972-10-04,1st,10th,1995,False
Lance Thomas,6-8,240lb,1988-04-24,-1,-1,-1,True
Malcolm Thomas,6-9,225lb,1988-11-08,-1,-1,-1,True
Tyrus Thomas,6-9,215lb,1986-08-17,1st,4th,2006,False
Trey Thompkins,6-10,245lb,1990-05-20,2nd,37th,2011,False
Jason Thompson,6-11,250lb,1986-07-21,1st,12th,2008,False
Klay Thompson,6-6,215lb,1990-02-08,1st,11th,2011,False
Mychel Thompson,6-6,211lb,1988-06-01,-1,-1,-1,True
Tristan Thompson,6-9,254lb,1991-03-13,1st,4th,2011,False
Marcus Thornton,6-4,205lb,1987-06-05,2nd,43rd,2009,False
Jamaal Tinsley,6-3,195lb,1978-02-28,1st,27th,2001,False
Anthony Tolliver,6-8,240lb,1985-06-01,-1,-1,-1,True
Ronny Turiaf,6-10,249lb,1983-01-13,2nd,37th,2005,False
Hedo Türkoğlu,6-10,220lb,1979-03-19,1st,16th,2000,False
Evan Turner,6-6,220lb,1988-10-27,1st,2nd,2010,False
Jeremy Tyler,6-10,260lb,1991-06-21,2nd,39th,2011,False
Edwin Ubiles,6-6,204lb,1986-11-26,-1,-1,-1,True
Ekpe Udoh,6-10,245lb,1987-05-20,1st,6th,2010,False
Beno Udrih,6-3,205lb,1982-07-05,1st,28th,2004,False
Ben Uzoh,6-3,205lb,1988-03-19,-1,-1,-1,True
Anderson Varejão,6-10,273lb,1982-09-28,2nd,30th,2004,False
Greivis Vásquez,6-6,217lb,1987-01-16,1st,28th,2010,False
Jan Veselý,6-11,240lb,1990-04-24,1st,6th,2011,False
Charlie Villanueva,6-11,232lb,1984-08-24,1st,7th,2005,False
Nikola Vučević,6-10,260lb,1990-10-24,1st,16th,2011,False
Dwyane Wade,6-4,220lb,1982-01-17,1st,5th,2003,False
Von Wafer,6-5,210lb,1985-07-21,2nd,39th,2005,False
Henry Walker,6-6,220lb,1987-10-09,2nd,47th,2008,False
Kemba Walker,6-0,184lb,1990-05-08,1st,9th,2011,False
John Wall,6-3,210lb,1990-09-06,1st,1st,2010,False
Ben Wallace,6-9,240lb,1974-09-10,-1,-1,-1,True
Gerald Wallace,6-7,215lb,1982-07-23,1st,25th,2001,False
Luke Walton,6-8,235lb,1980-03-28,2nd,32nd,2003,False
Hakim Warrick,6-9,219lb,1982-07-08,1st,19th,2005,False
Darryl Watkins,6-11,258lb,1984-11-08,-1,-1,-1,True
C.J. Watson,6-2,175lb,1984-04-17,-1,-1,-1,True
Earl Watson,6-1,195lb,1979-06-12,2nd,40th,2001,False
Martell Webster,6-7,230lb,1986-12-04,1st,6th,2005,False
David West,6-9,250lb,1980-08-29,1st,18th,2003,False
Delonte West,6-4,180lb,1983-07-26,1st,24th,2004,False
Russell Westbrook,6-3,200lb,1988-11-12,1st,4th,2008,False
D.J. White,6-9,251lb,1986-08-31,1st,29th,2008,False
Hassan Whiteside,7-0,265lb,1989-06-13,2nd,33rd,2010,False
Chris Wilcox,6-10,221lb,1982-09-03,1st,8th,2002,False
Damien Wilkins,6-6,225lb,1980-01-11,-1,-1,-1,True
Deron Williams,6-3,200lb,1984-06-26,1st,3rd,2005,False
Derrick Williams,6-8,240lb,1991-05-25,1st,2nd,2011,False
Elliot Williams,6-5,190lb,1989-06-20,1st,22nd,2010,False
Jordan Williams,6-10,260lb,1990-10-11,2nd,36th,2011,False
Lou Williams,6-1,175lb,1986-10-27,2nd,45th,2005,False
Marvin Williams,6-8,237lb,1986-06-19,1st,2nd,2005,False
Mo Williams,6-1,198lb,1982-12-19,2nd,47th,2003,False
Reggie Williams,6-6,205lb,1986-09-14,-1,-1,-1,True
Sean Williams,6-10,235lb,1986-09-13,1st,17th,2007,False
Shawne Williams,6-9,225lb,1986-02-16,1st,17th,2006,False
Shelden Williams,6-9,250lb,1983-10-21,1st,5th,2006,False
Terrence Williams,6-6,220lb,1987-06-28,1st,11th,2009,False
Metta World Peace,6-7,260lb,1979-11-13,1st,16th,1999,False
Brandan Wright,6-10,210lb,1987-10-05,1st,8th,2007,False
Chris Wright,6-8,226lb,1988-09-30,-1,-1,-1,True
Dorell Wright,6-9,205lb,1985-12-02,1st,19th,2004,False
Nick Young,6-7,210lb,1985-06-01,1st,16th,2007,False
Sam Young,6-6,220lb,1985-06-01,2nd,36th,2009,False
Thaddeus Young,6-8,235lb,1988-06-21,1st,12th,2007,False
Quincy Acy,6-7,240lb,1990-10-06,2nd,37th,2012,False
Josh Akognon,5-11,185lb,1986-02-10,-1,-1,-1,True
Darrell Arthur,6-9,235lb,1988-03-25,1st,27th,2008,False
Harrison Barnes,6-8,225lb,1992-05-30,1st,7th,2012,False
Will Barton,6-6,181lb,1991-01-06,2nd,40th,2012,False
Aron Baynes,6-10,260lb,1986-12-09,-1,-1,-1,True
Kent Bazemore,6-4,195lb,1989-07-01,-1,-1,-1,True
Bradley Beal,6-4,207lb,1993-06-28,1st,3rd,2012,False
Patrick Beverley,6-1,180lb,1988-07-12,2nd,42nd,2009,False
Aaron Brooks,6-0,161lb,1985-01-14,1st,26th,2007,False
Victor Claver,6-9,224lb,1988-08-30,1st,22nd,2009,False
Will Conroy,6-2,195lb,1982-12-08,-1,-1,-1,True
Chris Copeland,6-9,239lb,1984-03-17,-1,-1,-1,True
Jae Crowder,6-6,235lb,1990-07-06,2nd,34th,2012,False
Jared Cunningham,6-4,195lb,1991-05-22,1st,24th,2012,False
Anthony Davis,6-10,253lb,1993-03-11,1st,1st,2012,False
Nando De Colo,6-5,200lb,1987-06-23,2nd,53rd,2009,False
Chris Douglas-Roberts,6-7,200lb,1987-01-08,2nd,40th,2008,False
Andre Drummond,6-10,279lb,1993-08-10,1st,9th,2012,False
Kim English,6-6,200lb,1988-09-24,2nd,44th,2012,False
Festus Ezeli,6-11,255lb,1989-10-21,1st,30th,2012,False
Evan Fournier,6-7,205lb,1992-10-29,1st,20th,2012,False
Joel Freeland,6-10,250lb,1987-02-07,1st,30th,2006,False
Diante Garrett,6-4,190lb,1988-11-03,-1,-1,-1,True
Mickaël Gelabale,6-7,215lb,1983-05-22,2nd,48th,2005,False
Draymond Green,6-6,230lb,1990-03-04,2nd,35th,2012,False
Jeff Green,6-8,235lb,1986-08-28,1st,5th,2007,False
Ben Hansbrough,6-3,203lb,1987-12-23,-1,-1,-1,True
Maurice Harkless,6-7,220lb,1993-05-11,1st,15th,2012,False
John Henson,6-9,219lb,1990-12-28,1st,14th,2012,False
Justin Holiday,6-6,180lb,1989-04-05,-1,-1,-1,True
Bernard James,6-10,240lb,1985-02-07,2nd,33rd,2012,False
John Jenkins,6-4,215lb,1991-03-06,1st,23rd,2012,False
Orlando Johnson,6-5,220lb,1989-03-11,2nd,36th,2012,False
Darius Johnson-Odom,6-2,215lb,1989-09-28,2nd,55th,2012,False
DeQuan Jones,6-8,221lb,1990-06-20,-1,-1,-1,True
Kevin Jones,6-8,251lb,1989-08-25,-1,-1,-1,True
Perry Jones,6-11,235lb,1991-09-24,1st,28th,2012,False
Terrence Jones,6-9,252lb,1992-01-09,1st,18th,2012,False
Kris Joseph,6-7,210lb,1988-12-17,2nd,51st,2012,False
Michael Kidd-Gilchrist,6-6,232lb,1993-09-26,1st,2nd,2012,False
Andrei Kirilenko,6-9,220lb,1981-02-18,1st,24th,1999,False
Viacheslav Kravtsov,7-0,260lb,1987-08-25,-1,-1,-1,True
Doron Lamb,6-4,210lb,1991-11-06,2nd,42nd,2012,False
Jeremy Lamb,6-5,180lb,1992-05-30,1st,12th,2012,False
Meyers Leonard,7-0,260lb,1992-02-27,1st,11th,2012,False
Damian Lillard,6-2,195lb,1990-07-15,1st,6th,2012,False
Scott Machado,6-1,205lb,1990-06-08,-1,-1,-1,True
Kendall Marshall,6-4,200lb,1991-08-19,1st,13th,2012,False
Fab Melo,7-0,255lb,1990-06-20,1st,22nd,2012,False
Khris Middleton,6-7,222lb,1991-08-12,2nd,39th,2012,False
Darius Miller,6-6,225lb,1990-03-21,2nd,46th,2012,False
Quincy Miller,6-9,210lb,1992-11-18,2nd,38th,2012,False
Donatas Motiejūnas,7-0,222lb,1990-09-20,1st,20th,2011,False
Arnett Moultrie,6-11,249lb,1990-11-18,1st,27th,2012,False
Kevin Murphy,6-5,185lb,1990-03-06,2nd,47th,2012,False
Andrew Nicholson,6-9,250lb,1989-12-08,1st,19th,2012,False
Kyle O'Quinn,6-9,250lb,1990-03-26,2nd,49th,2012,False
Tim Ohlbrecht,6-11,255lb,1988-08-30,-1,-1,-1,True
Miles Plumlee,6-11,249lb,1988-09-01,1st,26th,2012,False
Pablo Prigioni,6-3,185lb,1977-05-17,-1,-1,-1,True
Chris Quinn,6-2,185lb,1983-09-27,-1,-1,-1,True
Shavlik Randolph,6-10,240lb,1983-11-24,-1,-1,-1,True
Austin Rivers,6-4,200lb,1992-08-01,1st,10th,2012,False
Brian Roberts,6-1,173lb,1985-12-03,-1,-1,-1,True
Thomas Robinson,6-10,237lb,1991-03-17,1st,5th,2012,False
Terrence Ross,6-6,206lb,1991-02-05,1st,8th,2012,False
Brandon Roy,6-6,215lb,1984-07-23,1st,6th,2006,False
Robert Sacre,7-0,270lb,1989-06-06,2nd,60th,2012,False
Mike Scott,6-7,237lb,1988-07-16,2nd,43rd,2012,False
Tornike Shengelia,6-9,217lb,1991-10-05,2nd,54th,2012,False
Alexey Shved,6-6,190lb,1988-12-16,-1,-1,-1,True
Henry Sims,6-10,248lb,1990-03-27,-1,-1,-1,True
Kyle Singler,6-8,228lb,1988-05-04,2nd,33rd,2011,False
Jared Sullinger,6-9,260lb,1992-03-04,1st,21st,2012,False
Jeff Taylor,6-7,225lb,1989-05-23,2nd,31st,2012,False
Tyshawn Taylor,6-3,185lb,1990-04-12,2nd,41st,2012,False
Marquis Teague,6-2,189lb,1993-02-28,1st,29th,2012,False
Mirza Teletović,6-9,242lb,1985-09-18,-1,-1,-1,True
Garrett Temple,6-5,195lb,1986-05-08,-1,-1,-1,True
P.J. Tucker,6-5,245lb,1985-05-05,2nd,35th,2006,False
Jonas Valančiūnas,6-11,265lb,1992-05-06,1st,5th,2011,False
Jarvis Varnado,6-9,230lb,1988-03-01,2nd,41st,2010,False
Dion Waiters,6-3,215lb,1991-12-10,1st,4th,2012,False
Rasheed Wallace,6-10,225lb,1974-09-17,1st,4th,1995,False
Maalik Wayns,6-2,200lb,1991-05-02,-1,-1,-1,True
James White,6-7,200lb,1982-10-21,2nd,31st,2006,False
Tony Wroten,6-6,205lb,1993-04-13,1st,25th,2012,False
Luke Zeller,6-11,245lb,1987-04-07,-1,-1,-1,True
Tyler Zeller,7-0,253lb,1990-01-17,1st,17th,2012,False
Steven Adams,6-11,265lb,1993-07-20,1st,12th,2013,False
Alexis Ajinça,7-2,248lb,1988-05-06,1st,20th,2008,False
Giannis Antetokounmpo,6-11,242lb,1994-12-06,1st,15th,2013,False
Pero Antić,6-11,260lb,1982-07-29,-1,-1,-1,True
Hilton Armstrong,6-11,235lb,1984-11-11,1st,12th,2006,False
Chris Babb,6-5,225lb,1990-02-14,-1,-1,-1,True
Anthony Bennett,6-8,245lb,1993-03-14,1st,1st,2013,False
Vander Blue,6-4,200lb,1992-07-17,-1,-1,-1,True
Lorenzo Brown,6-5,189lb,1990-08-26,2nd,52nd,2013,False
Reggie Bullock,6-6,205lb,1991-03-16,1st,25th,2013,False
Trey Burke,6-0,185lb,1992-11-12,1st,9th,2013,False
Dwight Buycks,6-3,190lb,1989-03-06,-1,-1,-1,True
Nick Calathes,6-6,213lb,1989-02-07,2nd,45th,2009,False
Kentavious Caldwell-Pope,6-5,204lb,1993-02-18,1st,8th,2013,False
Isaiah Canaan,6-0,201lb,1991-05-21,2nd,34th,2013,False
Michael Carter-Williams,6-5,190lb,1991-10-10,1st,11th,2013,False
Dionte Christmas,6-5,205lb,1986-09-15,-1,-1,-1,True
Ian Clark,6-3,175lb,1991-03-07,-1,-1,-1,True
Robert Covington,6-7,209lb,1990-12-14,-1,-1,-1,True
Allen Crabbe,6-5,212lb,1992-04-09,2nd,31st,2013,False
Seth Curry,6-2,185lb,1990-08-23,-1,-1,-1,True
Troy Daniels,6-4,200lb,1991-07-15,-1,-1,-1,True
Gigi Datome,6-8,215lb,1987-11-27,-1,-1,-1,True
Brandon Davies,6-10,240lb,1991-07-25,-1,-1,-1,True
Dewayne Dedmon,7-0,245lb,1989-08-12,-1,-1,-1,True
Matthew Dellavedova,6-3,200lb,1990-09-08,-1,-1,-1,True
Gorgui Dieng,6-10,252lb,1990-01-18,1st,21st,2013,False
Shane Edwards,6-7,220lb,1987-05-31,-1,-1,-1,True
Melvin Ely,6-10,260lb,1978-05-02,1st,12th,2002,False
Vítor Luiz Faverani,6-11,260lb,1988-05-05,-1,-1,-1,True
Carrick Felix,6-6,201lb,1990-08-17,2nd,33rd,2013,False
Jamaal Franklin,6-5,191lb,1991-07-21,2nd,41st,2013,False
Rudy Gobert,7-1,258lb,1992-06-26,1st,27th,2013,False
Archie Goodwin,6-5,200lb,1994-08-17,1st,29th,2013,False
Jorge Gutiérrez,6-3,191lb,1988-12-27,-1,-1,-1,True
Justin Hamilton,7-0,260lb,1990-04-01,2nd,45th,2012,False
Tim Hardaway Jr.,6-5,205lb,1992-03-16,1st,24th,2013,False
Elias Harris,6-8,239lb,1989-07-06,-1,-1,-1,True
Mike Harris,6-6,240lb,1983-06-15,-1,-1,-1,True
Solomon Hill,6-6,226lb,1991-03-18,1st,23rd,2013,False
Scotty Hopson,6-7,204lb,1989-08-08,-1,-1,-1,True
Robbie Hummel,6-8,215lb,1989-03-08,2nd,58th,2012,False
Othyus Jeffers,6-5,200lb,1985-08-05,-1,-1,-1,True
Sergey Karasev,6-7,208lb,1993-10-26,1st,19th,2013,False
Ryan Kelly,6-11,230lb,1991-04-09,2nd,48th,2013,False
Ognjen Kuzmić,7-1,251lb,1990-05-16,2nd,52nd,2012,False
Shane Larkin,5-11,175lb,1992-10-02,1st,18th,2013,False
Ricky Ledo,6-7,195lb,1992-09-10,2nd,43rd,2013,False
Alex Len,7-0,250lb,1993-06-16,1st,5th,2013,False
Ray McCallum,6-3,190lb,1991-06-12,2nd,36th,2013,False
CJ McCollum,6-3,190lb,1991-09-19,1st,10th,2013,False
Ben McLemore,6-3,195lb,1993-02-11,1st,7th,2013,False
Gal Mekel,6-3,191lb,1988-03-04,-1,-1,-1,True
Tony Mitchell,6-8,235lb,1992-04-07,2nd,37th,2013,False
Shabazz Muhammad,6-6,223lb,1992-11-13,1st,14th,2013,False
Erik Murphy,6-10,230lb,1990-10-26,2nd,49th,2013,False
Toure' Murry,6-5,195lb,1989-11-08,-1,-1,-1,True
Mike Muscala,6-10,240lb,1991-07-01,2nd,44th,2013,False
Nemanja Nedović,6-3,192lb,1991-06-16,1st,30th,2013,False
James Nunnally,6-7,208lb,1990-07-14,-1,-1,-1,True
Greg Oden,7-0,250lb,1988-01-22,1st,1st,2007,False
Victor Oladipo,6-4,213lb,1992-05-04,1st,2nd,2013,False
Kelly Olynyk,6-11,240lb,1991-04-19,1st,13th,2013,False
Arinze Onuaku,6-9,255lb,1987-07-13,-1,-1,-1,True
Mason Plumlee,6-11,254lb,1990-03-05,1st,22nd,2013,False
Otto Porter Jr.,6-8,198lb,1993-06-03,1st,3rd,2013,False
Josh Powell,6-9,225lb,1983-01-25,-1,-1,-1,True
Phil Pressey,5-11,175lb,1991-02-17,-1,-1,-1,True
Miroslav Raduljica,7-0,250lb,1988-01-05,-1,-1,-1,True
Glen Rice Jr.,6-6,206lb,1991-01-01,2nd,35th,2013,False
Andre Roberson,6-7,210lb,1991-12-04,1st,26th,2013,False
Dennis Schröder,6-3,172lb,1993-09-15,1st,17th,2013,False
Mustafa Shakur,6-3,190lb,1984-08-18,-1,-1,-1,True
Peyton Siva,6-0,185lb,1990-10-24,2nd,56th,2013,False
Chris Smith,6-2,200lb,1987-10-13,-1,-1,-1,True
Tony Snell,6-6,213lb,1991-11-10,1st,20th,2013,False
James Southerland,6-8,215lb,1990-04-28,-1,-1,-1,True
D.J. Stephens,6-5,188lb,1990-12-19,-1,-1,-1,True
Adonis Thomas,6-7,200lb,1993-03-25,-1,-1,-1,True
Hollis Thompson,6-8,206lb,1991-04-03,-1,-1,-1,True
Sasha Vujačić,6-7,195lb,1984-03-08,1st,27th,2004,False
Casper Ware,5-10,175lb,1990-01-17,-1,-1,-1,True
Royce White,6-8,270lb,1991-04-10,1st,16th,2012,False
Jeff Withey,7-0,231lb,1990-03-07,2nd,39th,2013,False
Nate Wolters,6-4,190lb,1991-05-15,2nd,38th,2013,False
Cody Zeller,6-11,240lb,1992-10-05,1st,4th,2013,False
Jordan Adams,6-5,209lb,1994-07-08,1st,22nd,2014,False
Furkan Aldemir,6-10,240lb,1991-08-09,2nd,53rd,2012,False
Kyle Anderson,6-9,230lb,1993-09-20,1st,30th,2014,False
Cameron Bairstow,6-9,250lb,1990-12-07,2nd,49th,2014,False
Jerrelle Benimon,6-8,245lb,1991-08-01,-1,-1,-1,True
Sim Bhullar,7-5,360lb,1992-12-02,-1,-1,-1,True
Tarik Black,6-9,250lb,1991-11-22,-1,-1,-1,True
Bojan Bogdanović,6-7,226lb,1989-04-18,2nd,31st,2011,False
